MlsNumber,PublicRemarks,Bathrooms,Bedrooms,InteriorSize,Type,Ammenities,Address,Longitude,Latitude,PostalCode,NeighbourHood,Price,PropertyType,ParkingSpace,OwnershipType,Appliances,FlooringType,BasementType,HeatingType,LandSize,AmmenitiesNearBy,PropertyTax,ZoningDescription,LowResPhoto
"S5128067","Beautiful Marriage Of Modernity & Original Charm On A Nearly ? Acre In-Town Lot! Park-Like Setting With Room For A Garden Suite & Boat & Rv Parking! Situated Mins From Amenities, Hwy 400, & The Go! Extensively Updated Interior Retains Original Charm! Open-Concept Living & Dining! Bright & Cheery Kitchen With An Attached Family Room! Large Bedrooms! The Charming #hometostay You've Been Waiting For! Visit Our Site For More Info, Photos, & A 3D Tour!**** EXTRAS **** Incl: Dishwasher, Dryer, Gas Stove, Refrigerator, Washer, Window Coverings, Hot Tub Wiring, Shed. Excl: Hot Tub, Side Storage Container. Rental: On Demand Water Heater (27985645)","2","2",,"House",,"6 CENTRE ST|Barrie, Ontario L4N3L4","-79.6943238","44.3706644","L4N3L4","Allandale","$649,900 ","Single Family",,"Freehold",,,"Partial (Unfinished)","Forced air (Natural gas)","30.8 x 127.37 FT ; 62.61X127.37X30.80X175.28X48.19 Ft","Public Transit","$3,291.80",,"https://cdn.realtor.ca/listing/TS637498748317970000/reb82/highres/7/s5128067_1.jpg"
"N5127957","Top 5 Reasons You Will Love This Home: 1) Updated Bungalow Just Minutes To Beaches, Amenities, And Lake Simcoe 2) Beautiful Principal Rooms In Addition To Two Bedrooms And A Full Bathroom 3) Detached And Heated Double Car Garage Alongside A Double Wide Driveway 4) Selection Of Newer Windows (2016), A Reshingled Roof (2015), A Newer Furnace And Air Conditioner (2016), And An Owned Water Heater (2016) 5) Large In-Town Lot Placed On A Low-Traffic Street.**** EXTRAS **** Inclusions: Fridge, Stove, Microwave, Washer, Dryer, Owned Hot Water Tank (27985464)","1","2",,"House",,"684 TRINITY ST|Innisfil, Ontario L9S2G7","-79.5372415","44.3332533","L9S2G7","Alcona","$649,900 ","Single Family","17","Freehold",,,"Crawl space (Unfinished)","Forced air (Natural gas)","80 x 190 FT",,"$2,968",,"https://cdn.realtor.ca/listing/TS637498748278030000/reb82/highres/7/n5127957_1.jpg"
"40072109","Larger semi-detached brick home in great area close to Hospital, College, Hwy 400 access. This 3 generous sized Bdrms, 2 1/2 bath. Partially finished lower level with cozy fireplace in your bright den.  Home is in great move in condition .. shows well. Bright eat-in kitchen with walk-out to deck with private, fenced yard. Gas hook up for BBQ off back deck. Oversize 1 1/2 car garage + paved drive with room for additional 4 vehicles. Over 1,500 sq. ft with over 1,850 sq ft. finished. Great family home or investment property in an incredibly desirable  area! (62928956)","2","3 + 0",,"House",,"59 WEYMOUTH Road|Barrie, Ontario L4M6R7","-79.651151","44.410395","L4M6R7",,"$579,999 ","Single Family","5","Freehold","Dishwasher, Water meter",,"Full (Partially finished)","Forced air, (Natural gas)","under 1/2 acre","Golf Nearby, Hospital, Park, Public Transit",,"RM1","https://cdn.realtor.ca/listing/TS637498680465370000/reb17/highres/9/40072109_1.jpg"
"S5127256","Beautiful 3 Level Backsplit Minutes From The 400 Highway With Schools, Shopping, Parks And Transit All Within Close Proximity. Spacious 3+1 Bed Updated Top To Bottom. Stainless Steel Appliances, French Doors Side Entrance, Finished Basement With Fireplace And Extra Storage. Enjoy Evenings In The Backyard With Tall Trees, Large Cement Pad To Play Basketball Or Relax By The Outdoor Fire Pit. Spacious 2 Car Garage With Two More Additional Driveway Spots.**** EXTRAS **** Newly Enclosed Mudroom With Entryguard Door & Triple Pane Windows. Include: Fridge, Stove, Dishwasher, Washer & Dryer, Window Coverings, Electric Light Fixtures. Hot Water Tank (Rental) (27983150)","2","3 + 1",,"House",,"91 SPRINGDALE DR|Barrie, Ontario L4M5B2","-79.7008746","44.4109897","L4M5B2","Cundles East","$599,000 ","Single Family","4","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","54.99 x 120 FT",,"$4,259.98",,"https://cdn.realtor.ca/listing/TS637498596876070000/reb82/highres/6/s5127256_1.jpg"
"S5127257","Exceptionally Cared For Home With A Walk-Out In-Law Suite! Centrally Located Mins From Amenities, Shopping, & Schools! Major Updates Including Most Mechanical Items, Most Windows (2018), Front & Patio Doors (2019), Driveway Paving (2019), Main Bathroom (2020), & Laundry Room (2021)! Eat-In Kitchen With A W/O To An Oversized Deck! Well Cared For By Original Owners! Don't Let This Lovely #hometostay Get Away! Visit Our Site For More Info, Photos, & A 3D Tour!**** EXTRAS **** Incl: Dishwasher (2), Fridge (2), Stove (2). Excl: Washer, Dryer, Nest Doorbell. Rental: Hot Water Heater (27983152)","2","3 + 2",,"House",,"440 SUNNIDALE  RD|Barrie, Ontario L4N7A8","-79.7302821","44.4012393","L4N7A8","Northwest","$649,900 ","Single Family","4","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","49.2 x 109.3 FT ; Approx As Per Geo","Park, Public Transit, Schools","$4,042.14",,"https://cdn.realtor.ca/listing/TS637498596880670000/reb82/highres/7/s5127257_1.jpg"
"S5127399","Beautiful Fully Finished Home In Highly Desirable Northwest Barrie! 3 Br, 3 Bath. Main Floor Boast An Updated Eat-In Kitchen W/Out To Patio & Fully Fenced Back Yard. Living/Dining Room With Gleaming Hardwood Floors. Upstairs You Find 3 Large Bedrooms, Master With 4 Peice Semi-Ensuite. Basement Has Large Family Room, 3 Pc Bath. 4 Parking Spaces Available + 2 In Garage. Steps To Bayfield, Georgian Mall, Schools, Parks And All Amenities & Easy Access To Hwy 400.**** EXTRAS **** Inclusions: Fridge, Stove, Dishwasher, Washer 7 Dryer, Window Coverings, Light Fixtures, Hwt, Water Softener, Reverse Osmosis, Gazebo On Back Deck. (27983297)","3","3",,"House",,"24 CARDINAL ST|Barrie, Ontario L4M6C8","-79.692158","44.4124965","L4M6C8","400 North","$625,000 ","Single Family","6","Freehold",,,"Full (Finished)","Forced air (Natural gas)","45.93 x 109.96 FT","Hospital, Public Transit","$3,860.62",,"https://cdn.realtor.ca/listing/TS637498596894030000/reb82/highres/9/s5127399_1.jpg"
"S5127399","Beautiful Fully Finished Home In Highly Desirable Northwest Barrie! 3 Br, 3 Bath. Main Floor Boast An Updated Eat-In Kitchen W/Out To Patio & Fully Fenced Back Yard. Living/Dining Room With Gleaming Hardwood Floors. Upstairs You Find 3 Large Bedrooms, Master With 4 Peice Semi-Ensuite. Basement Has Large Family Room, 3 Pc Bath. 4 Parking Spaces Available + 2 In Garage. Steps To Bayfield, Georgian Mall, Schools, Parks And All Amenities & Easy Access To Hwy 400.**** EXTRAS **** Inclusions: Fridge, Stove, Dishwasher, Washer 7 Dryer, Window Coverings, Light Fixtures, Hwt, Water Softener, Reverse Osmosis, Gazebo On Back Deck. (27983297)","3","3",,"House",,"24 CARDINAL ST|Barrie, Ontario L4M6C8","-79.692158","44.4124965","L4M6C8","400 North","$625,000 ","Single Family","6","Freehold",,,"Full (Finished)","Forced air (Natural gas)","45.93 x 109.96 FT","Hospital, Public Transit","$3,860.62",,"https://cdn.realtor.ca/listing/TS637498596894030000/reb82/highres/9/s5127399_1.jpg"
"S5127929","Attention Investors- Cash Flow! Amazing Detached Legal Duplex/Secondary Suite In Barrie Is Waiting Or You! Over +$4200/Mth Rent With Potential For Upside! Well Maintained Home Features. Lower Unit With Separate Entrance Kitchen, Bath, 2 Beds & Washroom! Main Unit Includes 4 Beds, 1.5 Baths, Laundry & Kitchen! Close To College, Highway & Conveniences! Start Investing Today!**** EXTRAS **** Select Furniture & Chattels To Stay (See List). Main Floor Kitchen Appliances. Basement Appliances, Vinyl Windows, Newer Furnace & Air Conditioner. Ecobe Thermostat, Washer/Dryer On Timer. Full Financials Avail (27983851)","3","4 + 2",,"House",,"5 WEST GATE|Barrie, Ontario L4M2V7","-79.6687826","44.4083621","L4M2V7","Grove East","$599,900 ","Single Family","5","Freehold",,,"N/A","Forced air (Natural gas)","54.99 x 100 FT","Park, Public Transit, Schools","$4,368.90",,"https://cdn.realtor.ca/listing/TS637498669943500000/reb82/highres/9/s5127929_1.jpg"
"S5127661","Welcome To 217 Nathan Cres In Desirable South End Barrie! This Bright And Spacious Home Offers 3+1 Bedrooms, 2 Washrooms, And A Partially Finished Basement Waiting For Your Finishing Touches. Walk Out From Your Eat-In Kitchen To A Newly Built 16' X16' Deck With Gazebo And Enjoy The Afternoon Sun! Close To All Amenities...Parks, School, Shopping, Transit, Dinning..The List Goes On! Book Your Showing Today..Don't Miss Out! ** This is a linked property.** **** EXTRAS **** Includes Existing Appliances; Fridge, Stove, B/I Dishwasher, Washer/Dryer. Existing Window Coverings & Electrical Light Fixtures.  Exclude: Freezer In Garage, Tire Rack & Cabinets In Garage, Disco Ball In 3rd Bedroom, Lights Around Deck. (27983571)","2","3 + 1",,"House",,"217 NATHAN CRES|Barrie, Ontario L4N0N3","-79.6497168","44.3456775","L4N0N3","Painswick South","$599,900 ","Single Family","4","Freehold",,,"Full (Partially finished)","Forced air (Natural gas)","29.5 x 112.73 FT","Park, Schools","$3,364.41",,"https://cdn.realtor.ca/listing/TS637498599681830000/reb82/highres/1/s5127661_1.jpg"
"S5127819","Perfect 3+2 Bedroom Detached Home * Premium 40X110Ft Lot * Energy Star Home* Open Concept Liv/Din * Eat-In Kitchen W/S/S Appl+ Backsplash & Lots Of Cabinets * Breakfast Area W/W/O To Yard * Family W/Upg'd Gas Fp & W/O To Patio * Master Bdrm W/His/Hers Closets & 5Pc Ensuite * Cathedral Ceilings & Skylight On 2nd * Fin'd Bsmt W/Rec +2 Beds & 3Pc Bath * Fully Fenced Yard * Arched Staircase * Interlocked Driveway * Close To Schools, Parks+Costco & Park Place Mall**** EXTRAS **** Include Existing: Fridge; Stove; Dishwasher; Washer & Dryer; All Light Fixtures; All Window Coverings; New Garage Door ('20); California Shutters; Hwt (Rental) * Visit Virtual Tour @ Www9Michelle.Ca (27983736)","4","3 + 2",,"House",,"9 MICHELLE DR|Barrie, Ontario L4N5Y1","-79.653935","44.3323716","L4N5Y1","Painswick South","$649,900 ","Single Family","3","Freehold",,,"Full (Finished)","Forced air (Natural gas)","40 x 110 FT ; Premium 40X110Ft Deep Lot!","Park, Schools","$4,986.06",,"https://cdn.realtor.ca/listing/TS637498639507200000/reb82/highres/9/s5127819_1.jpg"
"S5127875","One Of A Kind!! Absolutely Gorgeous Home Located In The Prime Southwest Of Barrie.   Totally Renovated Charming Raised Bungalow.   Hardwood Floor(2020) Throughout On Main; Newer Kitchen Offers Custom Built Cabinets, Quartz Counter Tops, Back Splashes, S/S Appliances & Breakfast Bar; Perfect Gas Fireplace In Unique Loft Style Huge Living Rm; Skylight; Newer 3 Pc Bath & 4 Pc En-Suit On Main. Boasts Walk-Out To Your Very Own Oasis In Private Back Yard.**** EXTRAS **** S/S: Fridge,Stove,Dishwasher,Micro W Rangehood-All 2019, Washer & Dryer, Led Light Fixture 2020, Gazebo 2019, A/C 2018,  Windows 2019 W Coverings,Gdo + Rem 2020, Entrance Door 2019. Shelf Unit In 2nd Bedroom, Roof 2016, Laundry Room On Main (27983794)","3","2 + 1",,"House",,"11 BLUEGRASS DR|Barrie, Ontario L4N9N9","-79.7115615","44.3407733","L4N9N9","Holly","$629,000 ","Single Family","4","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","32.15 x 122.28 FT ; 122.30 Ft X 31.05 Ft X 1.08 Ft X 139.49","Park","$4,138.97",,"https://cdn.realtor.ca/listing/TS637498770481500000/reb82/highres/5/s5127875_1.jpg"
"S5127212","Large Private Yard With Extensive Landscaping. W/O From Kitchen To Large Deck. Kitchen Open Concept To Family Room Which Overlooks Front Entrance And Lower Level. Very Bright Home With Large Windows Front And Rear. Semi Ensuite Bathroom To Master Bdrm. Semi Ensuite Bathroom To Master Bdrm. (27983104)","2","2 + 1",,"House",,"57 LOUGHEED RD|Barrie, Ontario L4N8G1","-79.7291866","44.319466","L4N8G1","Holly","$599,000 ","Single Family","3","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","39.41 x 111.49 FT",,"$3,994",,"https://cdn.realtor.ca/listing/TS637498596868200000/reb82/highres/2/s5127212_1.jpg"
"S5127186","Beautiful Family Home With Tremendous Pride Of Ownership Throughout! Excellent Neighbourhood Close To Hwy 400! Ample Parking, Newer Shingles (Approx 2014) & Newer Front Porch (2019)! Great Yard With Perennials & A Firepit! Engineered Hardwood Throughout The Main Floor & Newer Carpet Upstairs (2016)! He Furnace! Unspoiled Basement Boasts Bathroom Rough-In! A Perfect #hometostay For You & Your Family! Visit Our Site For More Info, Photos, & A 3D Tour!**** EXTRAS **** Inclusions: Dishwasher, Dryer, Garage Door Opener, Stove, Fridge, Washer, Window Coverings // Rental: Hwt-Electric, Water Softener (27983076)","2","3",,"House",,"47 PORRITT ST|Barrie, Ontario L4N6Y3","-79.7115588","44.3589423","L4N6Y3","Ardagh","$599,000 ","Single Family","5","Freehold",,,"Full (Unfinished)","Forced air (Natural gas)","78.74 x 112.75 FT ; 42.26X96.70X6.27X6.27X6.27X25.50X112.75'","Schools","$3,449.13",,"https://cdn.realtor.ca/listing/TS637498596864830000/reb82/highres/6/s5127186_1.jpg"
"S5127275","Welcome To This Charming 3 Bedroom Home With An Extra Room That Has Potential To Be A 4th Bedroom, Office Or 3 Season Sunroom. Backs Onto Golf Course And Only 5 Minutes From Barrie. Large Upgraded Eat In Kitchen Includes Stainless Steel Appliances And Has An Ionizer And Reverse Osmosis Water Filter System. Shop In The Back For Workspace/Storage. This Home Won't Last Long. Book Your Private Showing Today. Accepting Offers Anytime.**** EXTRAS **** Inclusions: Fridge, Stove, Dishwasher, Microwave, All Light Fixtures, Window Coverings, 2 Portable Air Conditioner Units. Projector Screen, Sheds. Rental: Propane Tank. (27983171)","1","3",,"House",,"4876 90 COUNTY RD|Springwater, Ontario L4M4S4","-79.7770188","44.3545969","L4M4S4","Rural Springwater","$515,000 ","Single Family",,"Freehold",,,"Crawl space",,"60.01 x 160 FT","Ski area","$1,837.82",,"https://cdn.realtor.ca/listing/TS637498596888500000/reb82/highres/5/s5127275_1.jpg"
"40072473","BEAUTIFUL MARRIAGE OF MODERNITY & ORIGINAL CHARM ON A NEARLY ¼ ACRE IN-TOWN LOT! Park-like setting with room for a garden suite & boat & RV parking! Situated mins from amenities, Hwy 400, & the GO! Extensively updated interior retains original charm! Open-concept living & dining! Bright & cheery kitchen with an attached family room! Large bedrooms! The charming #HomeToStay youve been waiting for! Visit our site for more info, photos, & a 3D tour! (62928730)","2","2 + 0","1243.0000","House",,"6 CENTRE Street|Barrie, Ontario L4N3L4","-79.69439898","44.37048578","L4N3L4",,"$649,900 ","Single Family","5","Freehold","Dishwasher, Dryer, Refrigerator, Water softener, Washer, Gas stove(s), Window Coverings",,"Partial (Unfinished)","Forced air, (Natural gas)","under 1/2 acre","Public Transit",,"RM1 (SP-528-HC)","https://cdn.realtor.ca/listing/TS637498600182700000/reb17/highres/3/40072473_1.jpg"
"40072377","Beautiful 3 Level Backsplit Minutes From The 400 Highway With Schools, Shopping, Parks And Transit All Within Close Proximity. Spacious 3+1 Bed Updated Top To Bottom. Stainless Steel Appliances, French Doors Side Entrance, Finished Basement With Fireplace And Extra Storage. Enjoy Evenings In The Backyard With Tall Trees, Large Cement Pad To Play Basketball Or Relax By The Outdoor Fire Pit. Spacious 2 Car Garage With Two More Additional Driveway Spots. Newly Enclosed Mudroom With Entryguard Door & Triple Pane Windows. (62927523)","2","3 + 1",,"House",,"91 SPRINGDALE Drive|Barrie, Ontario L4M5B2","-79.700853","44.410999","L4M5B2",,"$599,000 ","Single Family",,"Freehold","Dishwasher, Dryer, Refrigerator, Stove, Washer, Window Coverings",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Park, Public Transit",,"Residential","https://cdn.realtor.ca/listing/TS637498553034330000/reb17/highres/7/40072377_1.jpg"
"40072381","Attention Investors- Cash flow! Amazing detached Legal Duplex/Secondary Suite in Barrie is waiting or you! Over +$4200/mth rent with potential for upside! Well maintained home features. Lower unit with separate entrance kitchen, bath, 2 beds & washroom! Main unit includes 4 beds, 1.5 baths, laundry & kitchen! Close to college, highway & conveniences! Start investing today! (62927583)","3","3 + 3","1500.0000","House",,"5 WEST Gate|Barrie, Ontario L4M2V7","-79.66875041","44.40838728","L4M2V7",,"$599,900 ","Single Family","5","Freehold",,,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Park, Place of Worship, Public Transit, Schools",,"Residential","https://cdn.realtor.ca/listing/TS637498562676800000/reb15/highres/1/40072381_1.jpg"
"40070424","Stunning raised bungalow in Barrie's northwest end. The sun filled open space where the living room overlooks the family room, will take your breath away the moment you step foot into this home. The large windows, custom hardwood floors, custom railings and the large family room in the basement, are some features you see when you first walk in. The chef's kitchen is equipped with a centre island with breakfast bar, sky light, stainless steel appliances, pot lighting,  eat-in dining and a gorgeous view of the backyard. The large master bedroom features; built-in closet organizers, semi-ensuite bathroom entry and a second walk-out to the custom deck that towers over the massive greenspace this property has to offer. The fully fenced yard is perfect for all ages and a dogs dream. The basement offers great in-law suite potential as it is fully equipped with a kitchen and separate entrance. This home is located on a quiet crescent and surrounded with friendly neighbours. Also conveniently located - minutes from shopping, dining and schools. A perfect starter home or rental property!! (62924510)","2","2 + 1",,"House",,"113 SHAKESPEARE Crescent|Barrie, Ontario L4N6B6","-79.72317629","44.38740743","L4N6B6",,"$649,900 ","Single Family",,"Freehold","Water softener, Window Coverings",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Park, Public Transit, Schools, Shopping",,"Residential","https://cdn.realtor.ca/listing/TS637498408246700000/reb17/highres/4/40070424_1.jpg"
"40071888","EXCEPTIONALLY CARED FOR HOME WITH A WALK-OUT IN-LAW SUITE! Centrally located mins from amenities, shopping, & schools! Major updates including most mechanical items, most windows (2018), front & patio doors (2019), driveway paving (2019), main bathroom (2020), & laundry room (2021)! Eat-in kitchen with a W/O to an oversized deck! Well cared for by original owners! Dont let this lovely #HomeToStay get away! Visit our site for more info, photos, & a 3D tour! (62926055)","2","3 + 2","1062.0000","House",,"440 SUNNIDALE Road|Barrie, Ontario L4N7A8","-79.73030358","44.40124012","L4N7A8",,"$649,900 ","Single Family","4","Freehold","Central Vacuum",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Park, Place of Worship, Public Transit, Schools, Shopping",,"R2","https://cdn.realtor.ca/listing/TS637498425881030000/reb17/highres/8/40071888_1.jpg"
"40072139","Incredible opportunity to own this cozy home located less than 4 minutes from Minet's Point Beach. Amazing 300 ft deep lot with room to grow or potential for future redevelopment. Enjoy the peace and quiet in the private backyard paradise surrounded by large mature trees. Cottage feel with city amenities around the corner. (62926285)","1","2 + 0","860.0000","House",,"226 FOSTER Drive|Barrie, Ontario L4N3X8","-79.66381763","44.37002364","L4N3X8",,"$599,000 ","Single Family",,"Freehold","Dryer, Refrigerator, Stove, Washer",,"Partial (Unfinished)","Forced air, (Natural gas)","under 1/2 acre","Shopping",,"Res","https://cdn.realtor.ca/listing/TS637498710413730000/reb17/highres/9/40072139_1.jpg"
"40072216","Welcome To This Charming 3 Bedroom Home With An Extra Room That Has Potential To Be A 4th Bedroom, Office Or 3 Season Sunroom. Backs Onto Golf Course And Only 5 Minutes From Barrie. Large Upgraded Eat In Kitchen Includes Stainless Steel Appliances And Has An Ionizer And Reverse Osmosis Water Filter System. Shop In The Back For Workspace/Storage. This Home Won't Last Long. Book Your Private Showing Today. Accepting Offers Anytime. (62926410)","1","3 + 0",,"House",,"4876 90 COUNTY Road|Springwater, Ontario L4M4S4","-79.775267","44.355013","L4M4S4",,"$515,000 ","Single Family","6","Freehold","Dishwasher, Microwave, Refrigerator, Stove, Water softener, Window Coverings",,"Crawl space (Unfinished)","Other, (Propane)","under 1/2 acre","Golf Nearby, Ski area",,"Residential","https://cdn.realtor.ca/listing/TS637498437527670000/reb17/highres/6/40072216_1.jpg"
